version, nprocs, field_time, advance_time, init_time
fieldsLocal, 1296, 1.782, 5.40, 2.11
fieldsLocal, 1296, 3.434, 9.88, 8.96
fieldsLocal, 1296, 3.614, 10.12, 8.97
fieldsLocal, 1296, 3.757, 10.17, 8.96
fieldsLocal, 1296, 3.196, 9.75, 8.96
fieldsLocalBufferPacking, 1296, 2.412, 7.59, 9.00
fieldsLocalBufferPacking, 1296, 2.357, 7.53, 9.13
fieldsLocalBufferPacking, 1296, 2.290, 7.46, 9.04
fieldsLocalBufferPacking, 1296, 2.207, 7.31, 8.85
fieldsLocalBufferPacking, 1296, 1.893, 6.98, 8.86
fieldsImplicit, 1296, 3.373, 9.87, 13.54
fieldsImplicit, 1296, 3.355, 9.85, 13.46
fieldsImplicit, 1296, 3.470, 9.95, 13.48
fieldsImplicit, 1296, 3.650, 10.07, 13.69
fieldsImplicit, 1296, 3.399, 9.94, 13.29
